# --- Kifu for Windows (Pro) V6.65.60 棋譜ファイル ---
対局ID：12660
記録ID：6135cbd91b53ee00031db9d6
開始日時：2021/09/13 09:00
終了日時：2021/09/13 18:22
棋戦：第6期叡王戦五番勝負第５局
戦型：相掛かり
持ち時間：4時間
消費時間：111▲240△240
場所：東京・将棋会館
備考：昼休前47手目▲84分△95分
図：投了
振り駒：2,0,豊
計時方式：チェスクロック
秒読み：60秒
先手消費時間加算：0
後手消費時間加算：0
昼食休憩：12:00〜13:00
昼休前消費時間：47手▲84分△95分
手合割：平手
先手：藤井聡太王位・棋聖
後手：豊島将之叡王
先手省略名：藤井聡
後手省略名：豊島
手数----指手---------消費時間--
   1 ２六歩(27)   ( 0:31/00:00:31)
   2 ８四歩(83)   ( 0:11/00:00:11)
   3 ２五歩(26)   ( 0:13/00:00:44)
   4 ８五歩(84)   ( 0:08/00:00:19)
   5 ７八金(69)   ( 0:11/00:00:55)
   6 ３二金(41)   ( 0:20/00:00:39)
   7 ３八銀(39)   ( 0:10/00:01:05)
   8 ７二銀(71)   ( 0:14/00:00:53)
   9 ９六歩(97)   ( 0:18/00:01:23)
  10 ９四歩(93)   ( 0:25/00:01:18)
  11 ６八玉(59)   ( 0:28/00:01:51)
  12 １四歩(13)   ( 1:08/00:02:26)
  13 ３六歩(37)   ( 0:22/00:02:13)
  14 ８六歩(85)   ( 0:59/00:03:25)
  15 同　歩(87)   ( 0:07/00:02:20)
  16 同　飛(82)   ( 0:08/00:03:33)
  17 ３七桂(29)   ( 0:11/00:02:31)
  18 ７四歩(73)   ( 0:42/00:04:15)
  19 ２四歩(25)   ( 1:09/00:03:40)
  20 同　歩(23)   ( 0:12/00:04:27)
  21 同　飛(28)   ( 0:11/00:03:51)
  22 ２三歩打     ( 0:14/00:04:41)
  23 ７四飛(24)   ( 0:10/00:04:01)
  24 ７三銀(72)   ( 0:13/00:04:54)
  25 ８七歩打     ( 1:19/00:05:20)
  26 ８二飛(86)   ( 0:30/00:05:24)
  27 ７五飛(74)   ( 0:07/00:05:27)
  28 ３四歩(33)   ( 0:42/00:06:06)
  29 ２五飛(75)   ( 0:18/00:05:45)
  30 ４二銀(31)   ( 0:23/00:06:29)
  31 ７六歩(77)   ( 0:13/00:05:58)
  32 ４四歩(43)   ( 0:31/00:07:00)
  33 ４六歩(47)   ( 0:16/00:06:14)
  34 ４三銀(42)   ( 0:35/00:07:35)
  35 ４八金(49)   ( 1:28/00:07:42)
  36 ６四銀(73)   ( 1:40/00:09:15)
  37 ４七銀(38)   ( 7:47/00:15:29)
  38 ５四銀(43)   ( 0:28/00:09:43)
  39 ２九飛(25)   (29:36/00:45:05)
  40 ６五銀(54)   (66:15/01:15:58)
  41 ７七金(78)   ( 5:36/00:50:41)
  42 ７五歩打     ( 0:54/01:16:52)
  43 同　歩(76)   (22:06/01:12:47)
  44 同　銀(64)   ( 0:05/01:16:57)
  45 ９七角(88)   ( 0:49/01:13:36)
  46 ６四銀(75)   (18:24/01:35:21)
  47 ６六歩(67)   (10:39/01:24:15)
  48 ７四銀(65)   (26:45/02:02:06)
  49 ７八銀(79)   (45:24/02:09:39)
  50 ３三角(22)   (30:53/02:32:59)
  51 ８八角(97)   (27:37/02:37:16)
  52 ８五銀(74)   (17:49/02:50:48)
  53 ５八玉(68)   (19:02/02:56:18)
  54 ５二金(61)   ( 4:08/02:54:56)
  55 ５六銀(47)   ( 0:47/02:57:05)
  56 ５四歩(53)   ( 2:48/02:57:44)
  57 ６五歩(66)   (22:23/03:19:28)
  58 ７五銀(64)   (26:54/03:24:38)
  59 ２四歩打     ( 6:05/03:25:33)
  60 同　歩(23)   ( 1:30/03:26:08)
  61 ２五歩打     ( 0:03/03:25:36)
  62 ４三金(52)   (11:59/03:38:07)
  63 ２四歩(25)   ( 0:06/03:25:42)
  64 ２二歩打     ( 0:04/03:38:11)
  65 ６七銀(56)   ( 4:55/03:30:37)
  66 ３五歩(34)   (10:46/03:48:57)
  67 ７六歩打     ( 1:13/03:31:50)
  68 ８四銀(75)   ( 0:06/03:49:03)
  69 ２六飛(29)   ( 1:47/03:33:37)
  70 ３六歩(35)   ( 0:12/03:49:15)
  71 同　飛(26)   ( 0:58/03:34:35)
  72 ３四歩打     ( 0:46/03:50:01)
  73 ６六金(77)   ( 2:32/03:37:07)
  74 ２四角(33)   ( 3:13/03:53:14)
  75 ５六金(66)   ( 2:14/03:39:21)
  76 ３五歩(34)   ( 1:35/03:54:49)
  77 １六飛(36)   ( 4:33/03:43:54)
  78 ８六歩打     ( 1:57/03:56:46)
  79 ４五歩(46)   ( 1:50/03:45:44)
  80 ８七歩成(86) ( 3:14/04:00:00)
  81 同　銀(78)   ( 0:03/03:45:47)
  82 ８六歩打     ( 0:00/04:00:00)
