開始日時：2022/07/13 00:37:19
終了日時：2022/07/13 00:56:28
棋戦：R対局 持ち時間15分
手合割：平手
先手：ghsghs88(250)
後手：ozawa24(192)
手数----指手---------消費時間--
1 ２六歩(27)   ( 0:04/00:00:04)
2 ３四歩(33)   ( 0:01/00:00:01)
3 ２五歩(26)   ( 0:02/00:00:06)
4 ３三角(22)   ( 0:01/00:00:02)
5 ４八銀(39)   ( 0:02/00:00:08)
6 ４四歩(43)   ( 0:02/00:00:04)
7 ６八銀(79)   ( 0:02/00:00:10)
8 ３二金(41)   ( 0:02/00:00:06)
9 ３六歩(37)   ( 0:01/00:00:11)
10 ４三金(32)   ( 0:01/00:00:07)
11 ３七銀(48)   ( 0:02/00:00:13)
12 １四歩(13)   ( 0:01/00:00:08)
13 １六歩(17)   ( 0:03/00:00:16)
14 ２二銀(31)   ( 0:02/00:00:10)
15 ５六歩(57)   ( 0:05/00:00:21)
16 １三銀(22)   ( 0:02/00:00:12)
17 ５七銀(68)   ( 0:04/00:00:25)
18 ２二飛(82)   ( 0:03/00:00:15)
19 ４六銀(57)   ( 0:07/00:00:32)
20 ５二金(61)   ( 0:02/00:00:17)
21 ５八金(49)   ( 0:02/00:00:34)
22 ６二玉(51)   ( 0:02/00:00:19)
23 ６八玉(59)   ( 0:03/00:00:37)
24 ７二玉(62)   ( 0:02/00:00:21)
25 ７八玉(68)   ( 0:06/00:00:43)
26 ８二玉(72)   ( 0:02/00:00:23)
27 ６八金(69)   ( 0:02/00:00:45)
28 ９二香(91)   ( 0:02/00:00:25)
29 ３五歩(36)   ( 0:09/00:00:54)
30 ３五歩(34)   ( 0:03/00:00:28)
31 ３五銀(46)   ( 0:01/00:00:55)
32 ３四歩打     ( 0:02/00:00:30)
33 ４六銀(35)   ( 0:03/00:00:58)
34 ９一玉(82)   ( 0:02/00:00:32)
35 ９六歩(97)   ( 0:02/00:01:00)
36 ９四歩(93)   ( 0:03/00:00:35)
37 ６六歩(67)   ( 0:02/00:01:02)
