開始日時：2022/05/14 23:22:29
終了日時：2022/05/15 00:08:33
棋戦：R対局 持ち時間15分
手合割：平手
先手：Hanjagu2(384)
後手：n.furuike(341)
手数----指手---------消費時間--
1 ７六歩(77)   ( 0:00/00:00:00)
2 ５二飛(82)   ( 0:04/00:00:04)
3 ４八銀(39)   ( 0:07/00:00:07)
4 １四歩(13)   ( 0:02/00:00:06)
5 １六歩(17)   ( 0:16/00:00:23)
6 ５四歩(53)   ( 0:02/00:00:08)
7 ４六歩(47)   ( 0:17/00:00:40)
8 ４二銀(31)   ( 0:03/00:00:11)
9 ２六歩(27)   ( 0:07/00:00:47)
10 ５五歩(54)   ( 0:06/00:00:17)
11 ４七銀(48)   ( 0:02/00:00:49)
12 ５四飛(52)   ( 0:05/00:00:22)
13 ６八銀(79)   ( 0:14/00:01:03)
14 ５三銀(42)   ( 0:02/00:00:24)
15 ４八金(49)   ( 0:12/00:01:15)
16 ６二玉(51)   ( 0:03/00:00:27)
17 ３六歩(37)   ( 0:01/00:01:16)
18 ７二玉(62)   ( 0:02/00:00:29)
19 ４九玉(59)   ( 0:01/00:01:17)
20 ６四銀(53)   ( 0:03/00:00:32)
21 ６六歩(67)   ( 0:09/00:01:26)
22 １三角(22)   ( 0:04/00:00:36)
23 ６七銀(68)   ( 0:11/00:01:37)
24 ８二銀(71)   ( 0:04/00:00:40)
25 ３七桂(29)   ( 0:04/00:01:41)
26 ７一銀(82)   ( 0:09/00:00:49)
27 ２九飛(28)   ( 0:04/00:01:45)
28 ８二玉(72)   ( 0:03/00:00:52)
29 ３八玉(49)   ( 0:02/00:01:47)
30 ７二銀(71)   ( 0:02/00:00:54)
31 ５八金(69)   ( 0:40/00:02:27)
32 ９四歩(93)   ( 0:04/00:00:58)
33 ９六歩(97)   ( 0:04/00:02:31)
34 ７四歩(73)   ( 1:14/00:02:12)
35 ２五桂(37)   ( 0:47/00:03:18)
36 ３一角(13)   ( 0:03/00:02:15)
37 ５六歩(57)   ( 0:19/00:03:37)
38 ７五歩(74)   ( 0:16/00:02:31)
39 ６五歩(66)   ( 0:10/00:03:47)
40 ７三銀(64)   ( 0:11/00:02:42)
41 ５五歩(56)   ( 0:05/00:03:52)
42 ８四飛(54)   ( 0:03/00:02:45)
43 ７八銀(67)   ( 1:08/00:05:00)
44 ７六歩(75)   ( 0:03/00:02:48)
45 ５四歩(55)   ( 0:25/00:05:25)
46 ５四飛(84)   ( 0:05/00:02:53)
47 ３三桂(25)   ( 0:06/00:05:31)
48 ３三桂(21)   ( 0:19/00:03:12)
49 ３三角成(88)   ( 0:03/00:05:34)
50 ７五角(31)   ( 0:25/00:03:37)
51 ５七歩打     ( 0:27/00:06:01)
52 ６六桂打     ( 0:04/00:03:41)
53 ６七銀(78)   ( 0:15/00:06:16)
54 ５八桂成(66)   ( 0:03/00:03:44)
55 ５八銀(67)   ( 0:04/00:06:20)
56 ８四飛(54)   ( 0:03/00:03:47)
57 ８六桂打     ( 0:56/00:07:16)
58 ５二金(41)   ( 1:18/00:05:05)
59 ７四歩打     ( 0:19/00:07:35)
60 ６二銀(73)   ( 0:04/00:05:09)
61 ５五馬(33)   ( 0:10/00:07:45)
62 ６四歩(63)   ( 0:20/00:05:29)
63 ６四歩(65)   ( 0:12/00:07:57)
64 ９二玉(82)   ( 2:49/00:08:18)
65 ９五歩(96)   ( 0:34/00:08:31)
66 ８六角(75)   ( 0:16/00:08:34)
67 ８六歩(87)   ( 0:17/00:08:48)
68 ７四飛(84)   ( 2:25/00:10:59)
69 ８五角打     ( 0:56/00:09:44)
70 ７五飛(74)   ( 0:28/00:11:27)
71 ５二角成(85)   ( 0:08/00:09:52)
72 ５五飛(75)   ( 0:11/00:11:38)
73 ７四馬(52)   ( 0:26/00:10:18)
74 ７三金打     ( 0:45/00:12:23)
75 ５六馬(74)   ( 0:48/00:11:06)
76 ５一飛(55)   ( 1:40/00:14:03)
77 ８五桂打     ( 0:13/00:11:19)
78 ８四金(73)   ( 0:19/00:14:22)
79 ９四歩(95)   ( 0:04/00:11:23)
80 ８二玉(92)   ( 0:10/00:14:32)
81 ９三金打     ( 0:26/00:11:49)
82 ７一玉(82)   ( 0:34/00:15:06)
83 ６三歩成(64)   ( 0:21/00:12:10)
84 ６三銀(62)   ( 0:14/00:15:20)
85 ７三歩打     ( 0:03/00:12:13)
86 ９三香(91)   ( 0:59/00:16:19)
87 ９三歩成(94)   ( 0:20/00:12:33)
88 ６二玉(71)   ( 0:20/00:16:39)
89 ７二歩成(73)   ( 0:26/00:12:59)
90 ７二金(61)   ( 0:03/00:16:42)
91 ７三歩打     ( 1:16/00:14:15)
92 ７三桂(81)   ( 0:03/00:16:45)
93 ７三桂成(85)   ( 0:48/00:15:03)
94 ７三金(72)   ( 0:05/00:16:50)
95 ９四と(93)   ( 0:29/00:15:32)
96 ７四金(84)   ( 0:10/00:17:00)
97 ８三と(94)   ( 0:14/00:15:46)
98 ８三金(73)   ( 0:03/00:17:03)
99 ７五桂打     ( 0:02/00:15:48)
100 ７三金(83)   ( 0:02/00:17:05)
101 ６三桂成(75)   ( 0:11/00:15:59)
102 ６三金(73)   ( 0:02/00:17:07)
103 ６五銀打     ( 0:26/00:16:25)
104 ６五金(74)   ( 0:15/00:17:22)
105 ６五馬(56)   ( 0:04/00:16:29)
106 ６四歩打     ( 0:51/00:18:13)
107 ４三馬(65)   ( 0:37/00:17:06)
108 ５二金打     ( 0:03/00:18:16)
109 ３三馬(43)   ( 0:15/00:17:21)
110 ４二歩打     ( 0:02/00:18:18)
111 ５六香打     ( 0:23/00:17:44)
112 ５三歩打     ( 0:04/00:18:22)
113 ９三香成(99)   ( 0:28/00:18:12)
114 ７五角打     ( 0:59/00:19:21)
115 ８三金打     ( 0:36/00:18:48)
116 ７二銀打     ( 0:51/00:20:12)
117 ８四銀打     ( 0:35/00:19:23)
118 ８六角(75)   ( 0:30/00:20:42)
119 ７二金(83)   ( 0:18/00:19:41)
120 ７二玉(62)   ( 0:01/00:20:43)
121 ８三成香(93)   ( 0:02/00:19:43)
122 ６二玉(72)   ( 0:08/00:20:51)
123 ７四歩打     ( 0:20/00:20:03)
124 ３一飛(51)   ( 0:20/00:21:11)
125 ７三銀成(84)   ( 0:24/00:20:27)
126 ５一玉(62)   ( 0:03/00:21:14)
127 ２三馬(33)   ( 0:08/00:20:35)
128 ７三金(63)   ( 0:21/00:21:35)
129 ７三歩成(74)   ( 0:09/00:20:44)
130 ６八角成(86)   ( 0:43/00:22:18)
131 ７二成香(83)   ( 0:41/00:21:25)
132 ９五馬(68)   ( 0:12/00:22:30)
133 ６一金打     ( 0:08/00:21:33)
134 投了   ( 0:28/00:22:58)
まで133手で先手の勝ち
